source_system_id,source_system_name,target_system_id,target_system_name,flow_type,mechanism,frequency,description,status,notes
DCR-REV-02,LegacyRes_Archive,DCR-REV-01,VistaReserve,manual_crossreference,shared_crosswalk_table,one_time,Partial manual crosswalk spreadsheet mapping legacy site IDs to current VistaReserve IDs. Covers 15 highest-volume parks only. Created by a seasonal analyst in 2022.,stale,Unversioned standalone spreadsheet on shared drive. Not formally stewarded. Covers only 30% of legacy parks.
DCR-REV-01,VistaReserve,DCR-AST-01,InfraTrak Lifecycle,conceptual_overlap,shared_crosswalk_table,none,Asset crosswalk table nominally links VistaReserve inventory IDs to InfraTrak asset tags. Created during 2021 implementation but not maintained since 2022.,stale,Incomplete for assets added or reclassified after 2022.
DCR-REV-01,VistaReserve,DCR-GEO-01,GeoParks Enterprise,conceptual_overlap,shared_crosswalk_table,none,Same asset crosswalk table links VistaReserve inventory IDs to GeoParks feature IDs. Stale since 2022.,stale,Part of the three-way crosswalk (VistaReserve-InfraTrak-GeoParks) that has drifted.
DCR-AST-01,InfraTrak Lifecycle,DCR-GEO-01,GeoParks Enterprise,conceptual_overlap,shared_crosswalk_table,none,Asset crosswalk table links InfraTrak asset tags to GeoParks feature IDs. Same stale crosswalk.,stale,Three-way crosswalk covering VistaReserve-InfraTrak-GeoParks. Unmaintained since 2022.
DCR-NRM-01,BioSurvey_Legacy,DCR-GEO-01,GeoParks Enterprise,conceptual_overlap,none,none,BioSurvey survey_sites.park_id uses the same INTEGER park_id space as VistaReserve and InfraTrak but has no FK enforcement. Post-2011 records include GPS coordinates that can be manually overlaid on GeoParks spatial layers.,active,Manual GIS overlay — not an automated integration. Pre-2011 records lack coordinates.
DCR-FIN-01,StateGov Financials (SGF),DCR-AST-01,InfraTrak Lifecycle,conceptual_overlap,none,none,SGF expenditures and InfraTrak work order costs represent the same spending at different granularity levels. SGF tracks by object code (no asset attribution); InfraTrak tracks by asset. Reconciliation is manual using date and dollar matching.,active,No common key between systems. Manual reconciliation is error-prone. Applies only to Regions 1-2 where InfraTrak is deployed.
DCR-NRM-01,BioSurvey_Legacy,External-Wildlife,State Wildlife Agency,manual_extract,manual_csv_export,annual,Annual formatted Excel export of endangered species monitoring data submitted as a compliance obligation.,active,Maintained by Chief Biologist. Required for state Endangered Species Act compliance.
DCR-NRM-01,BioSurvey_Legacy,External-Health,State Health Department,manual_extract,manual_copypaste,seasonal,Summer-season manual transcription of beach water quality test results into the state health department's web portal.,active,Manual data entry for designated public swimming beaches only.
DCR-AST-01,InfraTrak Lifecycle,External-Legislature,Legislative Budget Office,manual_extract,manual_compilation,annual,Annual export of condition assessment scores as static PDF for inclusion in legislative budget request packages.,active,No live data feed. Static PDF export only.
DCR-HCM-01,PeopleFirst HR,DCR-REV-01,VistaReserve,conceptual_overlap,none,none,PeopleFirst organizational hierarchy is used to determine access control roles in VistaReserve. Linkage is maintained through manual access request processes — not automated identity provisioning.,active,No automated feed. Manual process for role assignment.
DCR-HCM-01,PeopleFirst HR,DCR-AST-01,InfraTrak Lifecycle,conceptual_overlap,none,none,PeopleFirst organizational hierarchy is used to determine access control roles in InfraTrak. Same manual process as VistaReserve.,active,No automated feed. Manual process for role assignment.
